text	label
pelayanan excellent	positive
produk berkualitas premium	positive
oke banget deh	positive
memuaskan sekali	positive
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
kualitas jelek sekali	negative
barang rusak tidak merekomendasikan	negative
tidak sesuai gambar	negative
pengiriman lambat	negative
pelayanan kurang memuaskan	negative
harga mahal banget	negative
produk mengecewakan	negative
tidak worth it	negative
jelek sekali	negative
sangat kecewa	negative
