text,label,label_id,text_preprocessed,tokens,stems
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative,0,simcard indosat inaktiv gara gara lupa isi pulsa kabar nya aktif pinda pasca bayar ribet banget,"['simcard', 'indosat', 'inaktiv', 'gara', 'gara', 'lupa', 'isi', 'pulsa', 'kabar', 'nya', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']","['simcard', 'indosat', 'inaktiv', 'gara', 'gara', 'lupa', 'isi', 'pulsa', 'kabar', 'nya', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']"
sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative,0,sifat iri sering muncul orang orang punya tujuan hidup,"['sifat', 'iri', 'sering', 'muncul', 'orang', 'orang', 'punya', 'tujuan', 'hidup']","['sifat', 'iri', 'sering', 'muncul', 'orang', 'orang', 'punya', 'tuju', 'hidup']"
"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",positive,2,sekadar menceritakan pengalaman pesan steak grilled beef 200 disajikanlah steak 200 tersebut 2 potongan 100 100 rasanya buruk kualitas daging nya membuat enggan memesan menu beef khusus nya sirloin lemak nya terlalu banyak ukuran steak menu menu sangat menempel lidah sarankan membeli menu berlabel cheese lanjutan,"['sekadar', 'menceritakan', 'pengalaman', 'pesan', 'steak', 'grilled', 'beef', '200', 'disajikanlah', 'steak', '200', 'tersebut', '2', 'potongan', '100', '100', 'rasanya', 'buruk', 'kualitas', 'daging', 'nya', 'membuat', 'enggan', 'memesan', 'menu', 'beef', 'khusus', 'nya', 'sirloin', 'lemak', 'nya', 'terlalu', 'banyak', 'ukuran', 'steak', 'menu', 'menu', 'sangat', 'menempel', 'lidah', 'sarankan', 'membeli', 'menu', 'berlabel', 'cheese', 'lanjutan']","['sekadar', 'cerita', 'alam', 'pesan', 'steak', 'grilled', 'beef', '200', 'saji', 'steak', '200', 'sebut', '2', 'potong', '100', '100', 'rasa', 'buruk', 'kualitas', 'daging', 'nya', 'buat', 'enggan', 'mes', 'menu', 'beef', 'khusus', 'nya', 'sirloin', 'lemak', 'nya', 'terlalu', 'banyak', 'ukur', 'steak', 'menu', 'menu', 'sangat', 'tempel', 'lidah', 'saran', 'beli', 'menu', 'label', 'cheese', 'lanjut']"
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",negative,0,pengalaman bersama indosat hari semoga terjadi pelanggan sempat marah marah pelayanan pelanggan indosat,"['pengalaman', 'bersama', 'indosat', 'hari', 'semoga', 'terjadi', 'pelanggan', 'sempat', 'marah', 'marah', 'pelayanan', 'pelanggan', 'indosat']","['alam', 'sama', 'indosat', 'hari', 'moga', 'jadi', 'langgan', 'sempat', 'marah', 'marah', 'layan', 'langgan', 'indosat']"
anak sekarang sulit untuk dinasehati,negative,0,anak sekarang sulit dinasehati,"['anak', 'sekarang', 'sulit', 'dinasehati']","['anak', 'sekarang', 'sulit', 'nasehat']"
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,negative,0,mengatasi masalah kayak gini anies sandi becus mana pasukan kebersihan banyak jumlah nya,"['mengatasi', 'masalah', 'kayak', 'gini', 'anies', 'sandi', 'becus', 'mana', 'pasukan', 'kebersihan', 'banyak', 'jumlah', 'nya']","['atas', 'masalah', 'kayak', 'gin', 'anies', 'sandi', 'becus', 'mana', 'pasu', 'bersih', 'banyak', 'jumlah', 'nya']"
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,neutral,1,bumn dibentuk uu bukan dibentuk uu,"['bumn', 'dibentuk', 'uu', 'bukan', 'dibentuk', 'uu']","['bumn', 'bentuk', 'uu', 'bukan', 'bentuk', 'uu']"
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive,2,sehabis puas bermain trans studio bandung bersama teman sepakat makan ayam kakek sini ayam nya selalu enak gurih,"['sehabis', 'puas', 'bermain', 'trans', 'studio', 'bandung', 'bersama', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'sini', 'ayam', 'nya', 'selalu', 'enak', 'gurih']","['habis', 'puas', 'main', 'trans', 'studio', 'bandung', 'sama', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'sini', 'ayam', 'nya', 'selalu', 'enak', 'gurih']"
rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,positive,2,rasa bakso cuanki batagor cukup selalu ramai pengunjung buka jam 10 pagi jalan riau menuju jalan a yani sisi kiri jalan jalan anggrek harga per porsi rp 14 00 datanglah lebih awal selalu ramai pengunjung,"['rasa', 'bakso', 'cuanki', 'batagor', 'cukup', 'selalu', 'ramai', 'pengunjung', 'buka', 'jam', '10', 'pagi', 'jalan', 'riau', 'menuju', 'jalan', 'a', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'per', 'porsi', 'rp', '14', '00', 'datanglah', 'lebih', 'awal', 'selalu', 'ramai', 'pengunjung']","['rasa', 'bakso', 'cuanki', 'batagor', 'cukup', 'selalu', 'ramai', 'unjung', 'buka', 'jam', '10', 'pagi', 'jalan', 'riau', 'tuju', 'jalan', 'a', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'per', 'porsi', 'rp', '14', '00', 'datang', 'lebih', 'awal', 'selalu', 'ramai', 'unjung']"
sgwr 2018 beri dampak positif terhadap hobi anak-anak,positive,2,sgwr 2018 beri dampak positif hobi anak anak,"['sgwr', '2018', 'beri', 'dampak', 'positif', 'hobi', 'anak', 'anak']","['sgwr', '2018', 'beri', 'dampak', 'positif', 'hobi', 'anak', 'anak']"
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",positive,2,berada lembang pemandangan indah udara sejuk penataan resto bagus dilengkapi makanan sangat nikmat pilihan menu beragam minuman lengkap lingkungan cocok makan berdua pasangan membawa keluarga ataupun bersama teman lapangan parkir luas restoran berkonsep terbuka membuat udara lembang sangat terasa sejuk nya,"['berada', 'lembang', 'pemandangan', 'indah', 'udara', 'sejuk', 'penataan', 'resto', 'bagus', 'dilengkapi', 'makanan', 'sangat', 'nikmat', 'pilihan', 'menu', 'beragam', 'minuman', 'lengkap', 'lingkungan', 'cocok', 'makan', 'berdua', 'pasangan', 'membawa', 'keluarga', 'ataupun', 'bersama', 'teman', 'lapangan', 'parkir', 'luas', 'restoran', 'berkonsep', 'terbuka', 'membuat', 'udara', 'lembang', 'sangat', 'terasa', 'sejuk', 'nya']","['ada', 'lembang', 'pandang', 'indah', 'udara', 'sejuk', 'tata', 'resto', 'bagus', 'lengkap', 'makan', 'sangat', 'nikmat', 'pilih', 'menu', 'agam', 'minum', 'lengkap', 'lingkung', 'cocok', 'makan', 'dua', 'pasang', 'bawa', 'keluarga', 'atau', 'sama', 'teman', 'lapang', 'parkir', 'luas', 'restoran', 'konsep', 'buka', 'buat', 'udara', 'lembang', 'sangat', 'asa', 'sejuk', 'nya']"
"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",positive,2,berbuka puasa sini minggu lepas pak supir mencadangkan tempat makan makanan nya sini sedap harga berpatutan tempat nya luas cantik rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia,"['berbuka', 'puasa', 'sini', 'minggu', 'lepas', 'pak', 'supir', 'mencadangkan', 'tempat', 'makan', 'makanan', 'nya', 'sini', 'sedap', 'harga', 'berpatutan', 'tempat', 'nya', 'luas', 'cantik', 'rekomendasi', 'too', 'others', 'to', 'dine', 'in', 'here', 'to', 'rasa', 'authentic', 'sunda', 'makanan', 'indonesia']","['buka', 'puasa', 'sini', 'minggu', 'lepas', 'pak', 'supir', 'cadang', 'tempat', 'makan', 'makan', 'nya', 'sini', 'sedap', 'harga', 'patut', 'tempat', 'nya', 'luas', 'cantik', 'rekomendasi', 'too', 'others', 'to', 'dine', 'in', 'here', 'to', 'rasa', 'authentic', 'sunda', 'makan', 'indonesia']"
hahaha suka banget nonton kartun indonesia keluarga pak tomat,positive,2,hahaha suka banget nonton kartun indonesia keluarga pak tomat,"['hahaha', 'suka', 'banget', 'nonton', 'kartun', 'indonesia', 'keluarga', 'pak', 'tomat']","['hahaha', 'suka', 'banget', 'nonton', 'kartun', 'indonesia', 'keluarga', 'pak', 'tomat']"
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,positive,2,teman teman sedang berkunjung bandung mampir kopi anjis makan makanan terlalu berat cilok rakyat ditemankan teh sereh lekker,"['teman', 'teman', 'sedang', 'berkunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makanan', 'terlalu', 'berat', 'cilok', 'rakyat', 'ditemankan', 'teh', 'sereh', 'lekker']","['teman', 'teman', 'sedang', 'kunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makan', 'terlalu', 'berat', 'cilok', 'rakyat', 'teman', 'teh', 'sereh', 'lekker']"
"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",positive,2,restoran keluarga makan malam terakhir bandung berjumlah 8 orang bila nya 400 an benar benar murah meriah makan double double makanan nya enak suasana kafe menarik pelayanan sangat bagus teringat petunjuk toilet restoran men to the pergi momen are selalu ribut hahahaha setimpal,"['restoran', 'keluarga', 'makan', 'malam', 'terakhir', 'bandung', 'berjumlah', '8', 'orang', 'bila', 'nya', '400', 'an', 'benar', 'benar', 'murah', 'meriah', 'makan', 'double', 'double', 'makanan', 'nya', 'enak', 'suasana', 'kafe', 'menarik', 'pelayanan', 'sangat', 'bagus', 'teringat', 'petunjuk', 'toilet', 'restoran', 'men', 'to', 'the', 'pergi', 'momen', 'are', 'selalu', 'ribut', 'hahahaha', 'setimpal']","['restoran', 'keluarga', 'makan', 'malam', 'akhir', 'bandung', 'jumlah', '8', 'orang', 'bila', 'nya', '400', 'an', 'benar', 'benar', 'murah', 'riah', 'makan', 'double', 'double', 'makan', 'nya', 'enak', 'suasana', 'kafe', 'tarik', 'layan', 'sangat', 'bagus', 'ingat', 'tunjuk', 'toilet', 'restoran', 'men', 'to', 'the', 'pergi', 'momen', 'are', 'selalu', 'ribut', 'hahahaha', 'timpal']"
"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",negative,0,alhamdulillah hari jalan bugel kesal kalau tiap hari lewat sana melulu sempit arah macet jadi makanan sehari hari,"['alhamdulillah', 'hari', 'jalan', 'bugel', 'kesal', 'kalau', 'tiap', 'hari', 'lewat', 'sana', 'melulu', 'sempit', 'arah', 'macet', 'jadi', 'makanan', 'sehari', 'hari']","['alhamdulillah', 'hari', 'jalan', 'bugel', 'kesal', 'kalau', 'tiap', 'hari', 'lewat', 'sana', 'melulu', 'sempit', 'arah', 'macet', 'jadi', 'makan', 'hari', 'hari']"
"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",negative,0,respon lama sama sayang nya rem nya bukan asli rom distrobitor,"['respon', 'lama', 'sama', 'sayang', 'nya', 'rem', 'nya', 'bukan', 'asli', 'rom', 'distrobitor']","['respon', 'lama', 'sama', 'sayang', 'nya', 'rem', 'nya', 'bukan', 'asli', 'rom', 'distrobitor']"
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,positive,2,lokasi pemandangan alam natural indah suasana sejuk tenang banyak nyamuk harga makanan relatif mahal,"['lokasi', 'pemandangan', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'banyak', 'nyamuk', 'harga', 'makanan', 'relatif', 'mahal']","['lokasi', 'pandang', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'banyak', 'nyamuk', 'harga', 'makan', 'relatif', 'mahal']"
pdip sebut ridwan kamil menang karena berbaju merah,neutral,1,pdip sebut ridwan kamil menang berbaju merah,"['pdip', 'sebut', 'ridwan', 'kamil', 'menang', 'berbaju', 'merah']","['pdip', 'sebut', 'ridwan', 'kamil', 'menang', 'baju', 'merah']"
malu - maluin nih oknum yang tidak bertanggung jawab .,negative,0,malu maluin nih oknum bertanggung jawab,"['malu', 'maluin', 'nih', 'oknum', 'bertanggung', 'jawab']","['malu', 'maluin', 'nih', 'oknum', 'tanggung', 'jawab']"
"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",negative,0,makan siang sini asyik nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian tempat nya enak adem sayang sekali pesan kopi lama banget datang nya diminta berkali kali iya pak iya pak hampir 1 jam kopi datang bukan kopi panas kopi ade ciri khas kopi sini kalau khas nya kopi dingin enak,"['makan', 'siang', 'sini', 'asyik', 'nuansa', 'bali', 'walaupun', 'music', 'nya', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bali', 'bergantian', 'tempat', 'nya', 'enak', 'adem', 'sayang', 'sekali', 'pesan', 'kopi', 'lama', 'banget', 'datang', 'nya', 'diminta', 'berkali', 'kali', 'iya', 'pak', 'iya', 'pak', 'hampir', '1', 'jam', 'kopi', 'datang', 'bukan', 'kopi', 'panas', 'kopi', 'ade', 'ciri', 'khas', 'kopi', 'sini', 'kalau', 'khas', 'nya', 'kopi', 'dingin', 'enak']","['makan', 'siang', 'sini', 'asyik', 'nuansa', 'bal', 'walaupun', 'music', 'nya', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bal', 'ganti', 'tempat', 'nya', 'enak', 'adem', 'sayang', 'sekali', 'pesan', 'kopi', 'lama', 'banget', 'datang', 'nya', 'minta', 'kali', 'kali', 'iya', 'pak', 'iya', 'pak', 'hampir', '1', 'jam', 'kopi', 'datang', 'bukan', 'kopi', 'panas', 'kopi', 'ade', 'ciri', 'khas', 'kopi', 'sini', 'kalau', 'khas', 'nya', 'kopi', 'dingin', 'enak']"
"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",positive,2,tempat steak bandung sejak lama zaman setiabudi sekarang buka cabang riau tempat riau lebih besar parkiran sulit setiabudi lokasi tempat kuliner jalan riau porsi harga nya pas ukuran steak zoom non smoking nya nyaman,"['tempat', 'steak', 'bandung', 'sejak', 'lama', 'zaman', 'setiabudi', 'sekarang', 'buka', 'cabang', 'riau', 'tempat', 'riau', 'lebih', 'besar', 'parkiran', 'sulit', 'setiabudi', 'lokasi', 'tempat', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'nya', 'pas', 'ukuran', 'steak', 'zoom', 'non', 'smoking', 'nya', 'nyaman']","['tempat', 'steak', 'bandung', 'sejak', 'lama', 'zaman', 'setiabudi', 'sekarang', 'buka', 'cabang', 'riau', 'tempat', 'riau', 'lebih', 'besar', 'parkir', 'sulit', 'setiabudi', 'lokasi', 'tempat', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'nya', 'pas', 'ukur', 'steak', 'zoom', 'non', 'smoking', 'nya', 'nyaman']"
"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",neutral,1,08 30 kedatangan presiden ri rombongan gate 2 terminal 3 disambut menteri perhubungan menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut ap2 dirut pt dirut railink,"['08', '30', 'kedatangan', 'presiden', 'ri', 'rombongan', 'gate', '2', 'terminal', '3', 'disambut', 'menteri', 'perhubungan', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'ap2', 'dirut', 'pt', 'dirut', 'railink']","['08', '30', 'datang', 'presiden', 'ri', 'rombong', 'gate', '2', 'terminal', '3', 'sambut', 'menteri', 'hubung', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'ap2', 'dirut', 'pt', 'dirut', 'railink']"
makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,positive,2,makanan tradisional selalu rasanya stabil iga garang asam nya java steak nya jangan lupa dicoba hidangan penutup semua kue enak lemper soes fla gulung enak sekali enak kalau makanan sini,"['makanan', 'tradisional', 'selalu', 'rasanya', 'stabil', 'iga', 'garang', 'asam', 'nya', 'java', 'steak', 'nya', 'jangan', 'lupa', 'dicoba', 'hidangan', 'penutup', 'semua', 'kue', 'enak', 'lemper', 'soes', 'fla', 'gulung', 'enak', 'sekali', 'enak', 'kalau', 'makanan', 'sini']","['makan', 'tradisional', 'selalu', 'rasa', 'stabil', 'iga', 'garang', 'asam', 'nya', 'java', 'steak', 'nya', 'jangan', 'lupa', 'coba', 'hidang', 'tutup', 'semua', 'kue', 'enak', 'lemper', 'soes', 'fla', 'gulung', 'enak', 'sekali', 'enak', 'kalau', 'makan', 'sini']"
"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",positive,2,rasa batagor terenak kota bandung dibandingkan batagor lainnya pernah coba bumbu kacang nya pas rasanya lidah batagor nya amis bau nya silakan mencoba pernah coba,"['rasa', 'batagor', 'terenak', 'kota', 'bandung', 'dibandingkan', 'batagor', 'lainnya', 'pernah', 'coba', 'bumbu', 'kacang', 'nya', 'pas', 'rasanya', 'lidah', 'batagor', 'nya', 'amis', 'bau', 'nya', 'silakan', 'mencoba', 'pernah', 'coba']","['rasa', 'batagor', 'enak', 'kota', 'bandung', 'banding', 'batagor', 'lain', 'pernah', 'coba', 'bumbu', 'kacang', 'nya', 'pas', 'rasa', 'lidah', 'batagor', 'nya', 'amis', 'bau', 'nya', 'sila', 'coba', 'pernah', 'coba']"
